负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				法学硕士	一年	220，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				中国法学法律硕士	一年	220，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				合规与监管法律硕士	一年	242，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				公司和金融法法律硕士	一年	242，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				人权法法律硕士	一年	198，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				技术和知识产权法法律硕士	一年	220，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				法学研究生证书	一年	232，000港币	次年1.5~4.30	雅思：总分7	否	无	
			牙科学院	牙体牙髓病学牙科手术硕士	三年	550，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				种植牙学硕士	二年	410，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				口腔颌面外科牙科硕士	三年	550，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				儿科口腔医学硕士课程	三年	550，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				牙周病学硕士	三年	595，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				牙科修复学硕士	三年	550，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				社区口腔医学理学硕士	一年	363，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				牙科材料理学硕士	一年	275，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				口腔颌面放射学与诊断成像理学硕士	一年	363，000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				正畸和齿面矫形学牙科手术硕士	三年	550，0000港币	11.20~次年1.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
			理学院	人工智能理学硕士	一年半	390，000港币	9.22~12.1 12.2~次年2.9	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
				物理学理学硕士	一年	200，000港币	11.7~次年4.30	雅思：总分6，小分5.5 托福：总分80	否	入学考试	
